rgi_id,CenLat,CenLon,year,t2m_abl_mean,t2m_abl_std,t2m_acc_mean,t2m_acc_std,tp_abl_sum,tp_acc_sum,ssrd_abl_sum,ssrd_acc_sum,Aspect,Zmax,GLIMSId,Zmed,Slope,Zmin,Area
RGI60-06.00001,64.8174,-23.7852,2005,281.87387,2.306975,275.86768,1.4186343,0.010654449,0.024664879,7.833277e+07,2.403816e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2006,282.2504,1.7964327,275.49854,0.6717988,0.014570236,0.027759552,7.03733e+07,2.6485592e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2007,282.47394,2.413993,275.7239,1.497826,0.013809204,0.026849747,7.8685304e+07,2.3965324e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2008,283.26233,1.4350576,275.72687,1.8264824,0.016649246,0.02848339,7.369569e+07,2.722294e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2009,282.8333,1.648585,275.62875,1.2359215,0.0139427185,0.028000832,7.501384e+07,2.4126256e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2010,283.6205,1.7720932,276.32675,1.1744654,0.00989151,0.019388199,7.3450104e+07,2.5546482e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2011,282.2906,2.1228445,276.07153,1.8573933,0.010150909,0.023373604,8.233623e+07,2.446832e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2012,282.8614,2.418946,276.22647,1.6709518,0.0084095,0.03266716,8.341765e+07,2.3650286e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2013,281.8686,1.966267,275.94843,1.3450142,0.017095566,0.022577286,6.890968e+07,2.9265014e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2014,283.32257,1.2862896,275.7228,1.4661523,0.017539978,0.016777039,6.4513908e+07,2.5567472e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2015,281.73676,2.214796,275.4628,1.8795246,0.010972977,0.030237198,7.784818e+07,2.6327084e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2016,283.0063,1.9756869,275.81964,1.8943043,0.011909485,0.02204895,7.121803e+07,2.6996294e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2017,283.007,1.1297337,277.18277,1.8495097,0.014867783,0.036597252,7.056315e+07,2.374928e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2018,281.52515,1.6676984,276.32327,2.100469,0.017503738,0.02423668,6.1133784e+07,2.3503404e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2019,282.82892,1.7750794,276.45322,1.8074507,0.012378693,0.026472092,7.846427e+07,2.3689544e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2020,281.66443,1.5761646,275.7078,1.9402543,0.014350891,0.021853447,6.859402e+07,2.4757716e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2021,281.77554,2.585813,276.20505,1.5278538,0.01615715,0.021489143,6.898393e+07,2.3569192e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2022,282.0401,1.2101141,275.8561,1.8663942,0.012483597,0.0308218,6.841703e+07,2.401005e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2023,282.22958,1.7389528,275.64932,2.7077296,0.012998581,0.020031929,7.076718e+07,2.6146276e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2024,281.34027,1.66106,275.42218,1.7714199,0.015417099,0.017637253,6.677501e+07,2.9848466e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2025,282.94965,1.3702989,276.3185,1.3964671,0.0140628815,0.02657795,7.139848e+07,2.5516784e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00002,64.7951,-23.7686,1940,280.7825,1.313958,272.54425,1.22969,0.013648987,0.011321068,6.499343e+07,2.33805e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1941,281.83246,1.5402648,274.02725,2.2560663,0.012353897,0.019248962,6.940776e+07,2.5940296e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1942,280.6088,1.548363,275.06012,1.6961936,0.008443832,0.023593903,7.393904e+07,2.4024228e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1943,280.04486,1.9399143,272.9755,1.6431041,0.010383606,0.025100708,7.743576e+07,2.521316e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1944,280.87286,1.9523522,273.79218,1.6264968,0.012319565,0.024866104,7.4470504e+07,2.5046286e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1945,281.00018,2.212032,273.01382,2.5201626,0.014339447,0.024352074,7.014137e+07,2.4098328e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1946,280.88977,1.1044681,274.48,2.2614272,0.009346008,0.027964592,7.397686e+07,2.3740408e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1947,281.41998,1.4930434,273.33212,3.3384948,0.018915176,0.021129608,6.601809e+07,2.8630916e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1948,279.95926,2.4306636,273.44614,2.0742116,0.011571884,0.028699875,7.460732e+07,2.5788324e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1949,281.28015,2.5689023,273.23737,1.3424697,0.013650894,0.03163147,6.899715e+07,2.8230826e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1950,282.01508,2.1728046,274.60684,1.831201,0.010835648,0.020757675,7.652794e+07,2.731579e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1951,282.10248,1.3731441,273.05466,2.0514004,0.011304855,0.020915985,7.193205e+07,2.9823094e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1952,281.04816,1.7029017,273.91626,2.009878,0.007863998,0.028323174,7.868036e+07,2.5843484e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1953,282.2373,1.7692181,275.03766,1.9175186,0.015729904,0.028788567,7.1352984e+07,2.6447634e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1954,281.0307,1.5069869,275.32767,1.5393566,0.007835388,0.036066055,7.188848e+07,2.476682e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1955,281.57333,1.7496314,274.53476,2.1756325,0.015522003,0.021550179,6.661455e+07,2.5469048e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1956,281.36237,1.4196588,275.17453,2.4756317,0.0123233795,0.022390366,7.417175e+07,2.4132482e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
