rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor
RGI60-06.00037,2010-01-01_2020-01-01,128000.0,-0.499,0.4561,6,False
RGI60-06.00038,2000-01-01_2010-01-01,101000.0,-0.3534,0.392,6,False
RGI60-06.00038,2000-01-01_2020-01-01,101000.0,-0.0482,0.1904,6,False
RGI60-06.00038,2010-01-01_2020-01-01,101000.0,0.257,0.3788,6,False
RGI60-06.00039,2000-01-01_2010-01-01,822000.0,0.1955,0.2837,6,False
RGI60-06.00039,2000-01-01_2020-01-01,822000.0,-0.0116,0.1442,6,False
RGI60-06.00039,2010-01-01_2020-01-01,822000.0,-0.2187,0.2786,6,False
RGI60-06.00040,2000-01-01_2010-01-01,164000.0,0.2791,0.4155,6,False
RGI60-06.00040,2000-01-01_2020-01-01,164000.0,-0.0253,0.2162,6,False
RGI60-06.00040,2010-01-01_2020-01-01,164000.0,-0.3298,0.4137,6,False
RGI60-06.00041,2000-01-01_2010-01-01,4714000.0,-0.1642,0.2322,6,False
RGI60-06.00041,2000-01-01_2020-01-01,4714000.0,-0.2444,0.1248,6,False
RGI60-06.00041,2010-01-01_2020-01-01,4714000.0,-0.3246,0.2316,6,False
RGI60-06.00042,2000-01-01_2010-01-01,110000.0,-0.5992,0.4407,6,False
RGI60-06.00042,2000-01-01_2020-01-01,110000.0,-0.0094,0.2243,6,False
RGI60-06.00042,2010-01-01_2020-01-01,110000.0,0.5805,0.447,6,False
RGI60-06.00043,2000-01-01_2010-01-01,3160000.0,0.0484,0.2674,6,False
RGI60-06.00043,2000-01-01_2020-01-01,3160000.0,-0.0279,0.1329,6,False
RGI60-06.00043,2010-01-01_2020-01-01,3160000.0,-0.1043,0.272,6,False
RGI60-06.00044,2000-01-01_2010-01-01,870000.0,-0.3891,0.2987,6,False
RGI60-06.00044,2000-01-01_2020-01-01,870000.0,-0.2958,0.1645,6,False
RGI60-06.00044,2010-01-01_2020-01-01,870000.0,-0.2025,0.2968,6,False
RGI60-06.00045,2000-01-01_2010-01-01,150000.0,-0.4098,0.3409,6,False
RGI60-06.00045,2000-01-01_2020-01-01,150000.0,-0.1408,0.1864,6,False
