year,rgi_id,mass_balance
1962,RGI60-06.00077,1324.801007099824
1963,RGI60-06.00077,1391.876821939384
1964,RGI60-06.00077,1679.972936265041
1965,RGI60-06.00077,711.7175394282524
1966,RGI60-06.00077,1275.088714347956
1967,RGI60-06.00077,1510.823000832779
1968,RGI60-06.00077,487.7821397697928
1969,RGI60-06.00077,140.96884708782014
1970,RGI60-06.00077,1936.299202055813
1971,RGI60-06.00077,1358.0131844136288
1972,RGI60-06.00077,1857.8591197340545
1973,RGI60-06.00077,1894.8485999050151
1974,RGI60-06.00077,1823.3193877526453
1975,RGI60-06.00077,1398.0756057180113
1976,RGI60-06.00077,434.31803446858913
1977,RGI60-06.00077,848.8526458433962
1978,RGI60-06.00077,605.8977188420134
1979,RGI60-06.00077,1926.579159613888
1980,RGI60-06.00077,92.97403393627664
1981,RGI60-06.00077,996.8886686916754
1982,RGI60-06.00077,1027.292743693388
1983,RGI60-06.00077,1907.4995618097544
1984,RGI60-06.00077,-197.89778058740225
1985,RGI60-06.00077,723.37407848258
1986,RGI60-06.00077,568.148151955581
1987,RGI60-06.00077,36.97278995059457
1988,RGI60-06.00077,145.02494640135822
1989,RGI60-06.00077,1116.7139917622956
1990,RGI60-06.00077,740.4568465115992
1991,RGI60-06.00077,861.8815155099552
1992,RGI60-06.00077,1847.0388510392
1993,RGI60-06.00077,1033.2240341240492
1994,RGI60-06.00077,638.3928490791876
1995,RGI60-06.00077,585.9654199443601
1996,RGI60-06.00077,-1137.1747296244375
1997,RGI60-06.00077,385.0537801755822
1998,RGI60-06.00077,1146.9184774782243
1999,RGI60-06.00077,572.1687079465365
2000,RGI60-06.00077,344.4843927150086
2001,RGI60-06.00077,499.26652388994336
2002,RGI60-06.00077,-381.35450357937225
2003,RGI60-06.00077,-633.0680793528304
2004,RGI60-06.00077,-327.7677704256663
2005,RGI60-06.00077,365.53121546121264
2006,RGI60-06.00077,-393.92359203495874
2007,RGI60-06.00077,210.40090102536115
2008,RGI60-06.00077,-762.0335138141442
2009,RGI60-06.00077,299.35543413601545
2010,RGI60-06.00077,-1308.17364473719
2011,RGI60-06.00077,549.9126771191392
2012,RGI60-06.00077,720.1345334434229
2013,RGI60-06.00077,516.8871290617925
2014,RGI60-06.00077,-862.6124495995169
2015,RGI60-06.00077,657.6136792543188
2016,RGI60-06.00077,-1000.3518068532338
2017,RGI60-06.00077,-658.858149584216
2018,RGI60-06.00077,219.57063786559587
2019,RGI60-06.00077,168.98638600932213
2020,RGI60-06.00077,1201.504836406915
2021,RGI60-06.00077,-14.567806404883124
2022,RGI60-06.00077,632.9628381238472
2023,RGI60-06.00077,83.06375537923385
2024,RGI60-06.00077,1398.794892857674
2025,RGI60-06.00077,-446.6540853635403
1940,RGI60-06.00078,1101.1465669242732
1941,RGI60-06.00078,-967.0754354815588
1942,RGI60-06.00078,1566.101890298589
1943,RGI60-06.00078,2858.9642780863533
1944,RGI60-06.00078,1181.327572878708
1945,RGI60-06.00078,880.8583919772386
1946,RGI60-06.00078,1561.1369750457109
1947,RGI60-06.00078,1418.5172268869776
1948,RGI60-06.00078,1476.1239503506538
1949,RGI60-06.00078,654.3818327023554
1950,RGI60-06.00078,775.4601507986617
1951,RGI60-06.00078,994.6941787656629
1952,RGI60-06.00078,2068.054883175511
1953,RGI60-06.00078,778.8210343824711
1954,RGI60-06.00078,872.2136412139196
1955,RGI60-06.00078,-139.8713954013238
1956,RGI60-06.00078,1228.3280766689224
1957,RGI60-06.00078,1307.027731540208
1958,RGI60-06.00078,848.1078178707688
1959,RGI60-06.00078,1451.5196705884166
1960,RGI60-06.00078,779.2926557619853
1961,RGI60-06.00078,1517.413131133342
1962,RGI60-06.00078,1426.7976912936228
1963,RGI60-06.00078,1266.8176101233453
1964,RGI60-06.00078,1759.205611292458
1965,RGI60-06.00078,678.4164204392392
1966,RGI60-06.00078,1273.3144006639022
1967,RGI60-06.00078,1544.4520154925458
1968,RGI60-06.00078,547.1476917496225
1969,RGI60-06.00078,249.68497870905964
1970,RGI60-06.00078,2061.182416448836
1971,RGI60-06.00078,1577.7232378809329
1972,RGI60-06.00078,2024.1236275194992
1973,RGI60-06.00078,1875.088617010548
1974,RGI60-06.00078,1965.6714730916929
1975,RGI60-06.00078,1638.278707688222
1976,RGI60-06.00078,488.9494735291676
1977,RGI60-06.00078,960.341136643164
1978,RGI60-06.00078,861.6009847274837
1979,RGI60-06.00078,2115.529567979678
1980,RGI60-06.00078,156.09554894109544
1981,RGI60-06.00078,1197.164436031862
1982,RGI60-06.00078,1100.5430419493364
1983,RGI60-06.00078,2136.7739004666423
1984,RGI60-06.00078,-184.864542157748
1985,RGI60-06.00078,707.3351209874579
1986,RGI60-06.00078,727.7485489965934
1987,RGI60-06.00078,260.6564666836002
1988,RGI60-06.00078,225.40931977067115
1989,RGI60-06.00078,1252.8003749383925
1990,RGI60-06.00078,941.8539821406084
1991,RGI60-06.00078,1114.2768879824594
1992,RGI60-06.00078,1798.922586441461
1993,RGI60-06.00078,859.1182166421363
1994,RGI60-06.00078,908.9693784638604
1995,RGI60-06.00078,796.7156208727749
1996,RGI60-06.00078,-1075.3301730787584
1997,RGI60-06.00078,444.7436144431335
1998,RGI60-06.00078,1500.6359912464573
1999,RGI60-06.00078,723.1775519044206
2000,RGI60-06.00078,470.5556821566301
2001,RGI60-06.00078,519.0230625975444
2002,RGI60-06.00078,-299.5026721744673
2003,RGI60-06.00078,-495.4736883904109
2004,RGI60-06.00078,-305.4492284269353
2005,RGI60-06.00078,506.8453287494066
2006,RGI60-06.00078,-259.31243044682014
2007,RGI60-06.00078,420.7992893284919
2008,RGI60-06.00078,-783.1378233323488
2009,RGI60-06.00078,486.44100045640135
2010,RGI60-06.00078,-1142.8454883129082
2011,RGI60-06.00078,666.0494497222422
2012,RGI60-06.00078,1094.6305908551758
2013,RGI60-06.00078,858.5315019459644
2014,RGI60-06.00078,-587.3011078717586
2015,RGI60-06.00078,722.3607069611181
2016,RGI60-06.00078,-1152.7804228176276
2017,RGI60-06.00078,-757.0205154363003
2018,RGI60-06.00078,390.1486318431424
2019,RGI60-06.00078,119.43813259345492
2020,RGI60-06.00078,1561.1599347554518
2021,RGI60-06.00078,-7.443164572590338
2022,RGI60-06.00078,558.5088018773259
2023,RGI60-06.00078,155.64032705248866
2024,RGI60-06.00078,1252.560286474985
2025,RGI60-06.00078,-694.263323146241
1940,RGI60-06.00079,1085.3213426231866
1941,RGI60-06.00079,-938.6124117260774
1942,RGI60-06.00079,1443.1627244863332
1943,RGI60-06.00079,2653.620624866224
1944,RGI60-06.00079,1068.4320069959094
1945,RGI60-06.00079,804.1220953309405
1946,RGI60-06.00079,1420.6518855435115
1947,RGI60-06.00079,1207.150597638947
1948,RGI60-06.00079,1386.7511610324725
1949,RGI60-06.00079,683.5953765361136
1950,RGI60-06.00079,645.8835187535838
1951,RGI60-06.00079,1054.6372930559526
1952,RGI60-06.00079,1937.75168293392
1953,RGI60-06.00079,711.9845261604148
1954,RGI60-06.00079,806.5143113213139
1955,RGI60-06.00079,-125.19186085212992
1956,RGI60-06.00079,1231.794687628627
1957,RGI60-06.00079,1091.234163675604
1958,RGI60-06.00079,799.2581812155086
1959,RGI60-06.00079,1501.9404408644557
1960,RGI60-06.00079,875.112764725696
1961,RGI60-06.00079,1492.9269737181253
1962,RGI60-06.00079,1363.497910293975
1963,RGI60-06.00079,1332.9746039054328
1964,RGI60-06.00079,1692.386255208467
1965,RGI60-06.00079,679.5048545583822
1966,RGI60-06.00079,1331.4740527569868
1967,RGI60-06.00079,1550.8059841203496
1968,RGI60-06.00079,531.4577307312953
1969,RGI60-06.00079,164.6901743768855
1970,RGI60-06.00079,2027.5374648801355
1971,RGI60-06.00079,1405.6270267405268
1972,RGI60-06.00079,1919.475912963636
1973,RGI60-06.00079,1864.615673910164
1974,RGI60-06.00079,2000.8376075527856
1975,RGI60-06.00079,1436.2613278587048
1976,RGI60-06.00079,403.07697809773526
1977,RGI60-06.00079,909.0552122268948
1978,RGI60-06.00079,697.1287527597012
1979,RGI60-06.00079,2051.897272413906
1980,RGI60-06.00079,128.98533391281222
1981,RGI60-06.00079,1099.9679869004465
1982,RGI60-06.00079,1088.0320950500927
1983,RGI60-06.00079,1991.2965700584684
1984,RGI60-06.00079,-290.76287247989444
1985,RGI60-06.00079,800.6547839054413
1986,RGI60-06.00079,644.8900100850499
1987,RGI60-06.00079,123.44995777033353
1988,RGI60-06.00079,112.71010481386875
1989,RGI60-06.00079,1116.3472385121509
1990,RGI60-06.00079,765.5198278349577
1991,RGI60-06.00079,919.8096235557498
1992,RGI60-06.00079,1762.2278345188863
1993,RGI60-06.00079,974.052755571678
1994,RGI60-06.00079,755.7658757368354
1995,RGI60-06.00079,687.2186863404958
1996,RGI60-06.00079,-1105.537054473066
1997,RGI60-06.00079,397.4841079506155
1998,RGI60-06.00079,1363.5902288461484
1999,RGI60-06.00079,625.9922542967803
2000,RGI60-06.00079,416.56172135884856
2001,RGI60-06.00079,576.6806818402648
2002,RGI60-06.00079,-318.4417019130755
2003,RGI60-06.00079,-570.8500278196097
2004,RGI60-06.00079,-355.46681918265523
2005,RGI60-06.00079,346.6081605895676
2006,RGI60-06.00079,-362.6728232226744
2007,RGI60-06.00079,252.85761466660972
2008,RGI60-06.00079,-750.315837400725
2009,RGI60-06.00079,436.6408669656277
2010,RGI60-06.00079,-1254.1519871401033
2011,RGI60-06.00079,669.3718728375726
2012,RGI60-06.00079,802.846221472536
2013,RGI60-06.00079,636.4121812348676
2014,RGI60-06.00079,-701.6693170777927
2015,RGI60-06.00079,721.556068218191
2016,RGI60-06.00079,-1055.6654549726416
2017,RGI60-06.00079,-660.4057229529973
2018,RGI60-06.00079,266.3356900725157
2019,RGI60-06.00079,237.76861242567776
2020,RGI60-06.00079,1299.959511526628
2021,RGI60-06.00079,-33.76390474312023
2022,RGI60-06.00079,600.2679116455791
2023,RGI60-06.00079,128.24208560120178
2024,RGI60-06.00079,1325.6630501915818
2025,RGI60-06.00079,-482.143934187847
1940,RGI60-06.00080,1053.5226703042674
1941,RGI60-06.00080,-906.35515487058
1942,RGI60-06.00080,1566.7398476513672
1943,RGI60-06.00080,2576.113002026311
1944,RGI60-06.00080,1114.1991823170365
1945,RGI60-06.00080,884.8469032115365
1946,RGI60-06.00080,1519.0885637193546
1947,RGI60-06.00080,1188.607132908995
1948,RGI60-06.00080,1385.5298058398494
1949,RGI60-06.00080,678.6600041479169
1950,RGI60-06.00080,692.4021802311702
1951,RGI60-06.00080,1161.490509554453
1952,RGI60-06.00080,1586.3294478498478
1953,RGI60-06.00080,879.0394341155543
1954,RGI60-06.00080,658.1317430160954
1955,RGI60-06.00080,49.08983307628656
1956,RGI60-06.00080,1212.3708599773297
1957,RGI60-06.00080,1013.4083793704189
1958,RGI60-06.00080,792.9903127387116
1959,RGI60-06.00080,1795.514095335235
1960,RGI60-06.00080,1129.56647320957
1961,RGI60-06.00080,1723.902893324819
1962,RGI60-06.00080,1455.8385571789906
1963,RGI60-06.00080,1243.4191642735066
1964,RGI60-06.00080,1609.093310162867
1965,RGI60-06.00080,656.310438541066
1966,RGI60-06.00080,1375.2458514098057
1967,RGI60-06.00080,1502.421773717041
1968,RGI60-06.00080,628.0174711024534
1969,RGI60-06.00080,376.8389438620556
1970,RGI60-06.00080,2037.8513197909367
1971,RGI60-06.00080,1487.7931562186784
1972,RGI60-06.00080,2070.523849266535
1973,RGI60-06.00080,1875.8983228543916
1974,RGI60-06.00080,2070.4343814687263
1975,RGI60-06.00080,1331.0149750336163
1976,RGI60-06.00080,732.2508223622873
1977,RGI60-06.00080,951.5222996382598
1978,RGI60-06.00080,819.1930531312993
1979,RGI60-06.00080,1749.9333475362569
1980,RGI60-06.00080,242.19791942708895
1981,RGI60-06.00080,1197.2263864577485
1982,RGI60-06.00080,1336.5631143137866
1983,RGI60-06.00080,2006.5146056791743
1984,RGI60-06.00080,-137.4454941883712
1985,RGI60-06.00080,935.4418435497258
1986,RGI60-06.00080,840.5910407354053
1987,RGI60-06.00080,294.0513141316584
1988,RGI60-06.00080,233.9208589631793
1989,RGI60-06.00080,1280.2720020324623
1990,RGI60-06.00080,677.4574051696097
1991,RGI60-06.00080,979.4296731656332
1992,RGI60-06.00080,1706.1678166907932
1993,RGI60-06.00080,1083.304861557791
1994,RGI60-06.00080,930.9384964348528
1995,RGI60-06.00080,757.290676344731
1996,RGI60-06.00080,-654.4601516375892
1997,RGI60-06.00080,598.7444597205244
1998,RGI60-06.00080,1423.2423517235245
1999,RGI60-06.00080,669.2221118435546
2000,RGI60-06.00080,332.3129047673771
2001,RGI60-06.00080,644.268503728304
2002,RGI60-06.00080,-52.579731039048056
2003,RGI60-06.00080,-277.78413848623273
2004,RGI60-06.00080,-250.38969183287736
2005,RGI60-06.00080,280.32161601172663
2006,RGI60-06.00080,-311.9592150967874
2007,RGI60-06.00080,291.977087615416
2008,RGI60-06.00080,-478.7966768547312
2009,RGI60-06.00080,536.7124218902385
2010,RGI60-06.00080,-1171.6206591262098
2011,RGI60-06.00080,968.4108188584154
2012,RGI60-06.00080,624.6548159090039
2013,RGI60-06.00080,667.5832892337648
2014,RGI60-06.00080,-393.7449610167548
2015,RGI60-06.00080,876.4179375213228
2016,RGI60-06.00080,-875.3261053352825
2017,RGI60-06.00080,-350.8706765954458
2018,RGI60-06.00080,439.73884926068746
2019,RGI60-06.00080,518.673610587109
2020,RGI60-06.00080,1182.973699936256
2021,RGI60-06.00080,24.918569876541454
2022,RGI60-06.00080,812.545638137496
2023,RGI60-06.00080,303.6969213510019
2024,RGI60-06.00080,1187.0120821567689
2025,RGI60-06.00080,-28.29545141173536
1940,RGI60-06.00081,981.0964142997136
1941,RGI60-06.00081,-802.0731567596673
1942,RGI60-06.00081,1261.903975365288
1943,RGI60-06.00081,2253.3365568490376
1944,RGI60-06.00081,931.3719095320328
1945,RGI60-06.00081,654.8345700774128
1946,RGI60-06.00081,1192.7926013891547
1947,RGI60-06.00081,925.9404660770724
1948,RGI60-06.00081,1202.7341297459077
1949,RGI60-06.00081,706.8413409760414
1950,RGI60-06.00081,474.4173606333084
1951,RGI60-06.00081,927.6702620100432
1952,RGI60-06.00081,1741.6965371655149
1953,RGI60-06.00081,636.380324185225
1954,RGI60-06.00081,739.0350931126558
1955,RGI60-06.00081,-152.5773334128969
1956,RGI60-06.00081,1131.6086877932146
1957,RGI60-06.00081,854.6574730743816
1958,RGI60-06.00081,674.5983280475679
1959,RGI60-06.00081,1383.89405363921
1960,RGI60-06.00081,855.1626489135771
1961,RGI60-06.00081,1322.3073529562023
1962,RGI60-06.00081,1169.4719616266536
1963,RGI60-06.00081,1284.234649599235
1964,RGI60-06.00081,1467.8214466154018
1965,RGI60-06.00081,604.9898237458109
1966,RGI60-06.00081,1287.4200999531386
1967,RGI60-06.00081,1433.6264198208212
1968,RGI60-06.00081,492.8158252907783
1969,RGI60-06.00081,159.5604035386024
1970,RGI60-06.00081,1798.4815483807668
1971,RGI60-06.00081,1172.5743996632152
1972,RGI60-06.00081,1664.6699940904418
1973,RGI60-06.00081,1706.5730772372374
1974,RGI60-06.00081,1839.902285394036
1975,RGI60-06.00081,1196.19459236988
1976,RGI60-06.00081,299.93761698126656
1977,RGI60-06.00081,819.9701119030442
1978,RGI60-06.00081,506.15603935630855
1979,RGI60-06.00081,1823.1850358923973
1980,RGI60-06.00081,86.8995429952555
1981,RGI60-06.00081,952.3009976229228
1982,RGI60-06.00081,996.87315517171
1983,RGI60-06.00081,1723.6092316223028
1984,RGI60-06.00081,-369.4400021558147
1985,RGI60-06.00081,846.3007404207139
1986,RGI60-06.00081,554.5614043175876
1987,RGI60-06.00081,21.055101769172246
1988,RGI60-06.00081,17.937741026952136
1989,RGI60-06.00081,914.7215900725168
1990,RGI60-06.00081,556.1101461464633
1991,RGI60-06.00081,655.1652818537423
1992,RGI60-06.00081,1625.3132560124254
1993,RGI60-06.00081,964.4743702833896
