rgi_id,start_date,end_date,avg_mb_mwe,avg_mb_gt,uncertainty_mwe,uncertainty_gt
RGI60-06.00103,2001,2020,-0.06939999999999999,-1.34636e-05,4.165170551940928,0.0008080430870765401
RGI60-06.00104,2001,2020,-0.21430000000000002,-0.00032830760000000005,3.1786488540746136,0.004869690044442309
RGI60-06.00105,2001,2020,-0.3609,-0.0002641788,3.261288009730083,0.002387262823122421
RGI60-06.00106,2001,2020,-0.12625,-0.00011135250000000001,3.297856472923551,0.002908709409118572
RGI60-06.00107,2001,2020,-0.0703,-3.3251900000000006e-05,3.3983983893103433,0.0016074424381437925
RGI60-06.00108,2001,2020,0.2381999999999999,3.263339999999999e-05,4.6555379539765,0.0006378086996947805
RGI60-06.00109,2001,2020,0.09405000000000001,5.3796600000000006e-05,3.5958373346733614,0.002056818955433163
RGI60-06.00110,2001,2020,-0.036699999999999997,-3.93424e-05,3.5237710195289216,0.003777482532935004
RGI60-06.00111,2001,2020,-0.22819999999999996,-1.0040799999999999e-05,7.497868234436377,0.0003299062023152006
RGI60-06.00112,2001,2020,-0.19985,-0.0001458905,3.424473216339232,0.0024998654479276394
RGI60-06.00113,2001,2020,-0.2783,-0.0001998194,3.4027140934042883,0.002443148719064279
RGI60-06.00114,2001,2020,-0.06080000000000001,-7.113600000000001e-06,4.881608078170271,0.0005711481451459218
RGI60-06.00115,2001,2020,-0.15530000000000002,-4.301810000000001e-05,3.82641229962321,0.0010599162069956293
RGI60-06.00116,2001,2020,-0.03255,-1.3573350000000001e-05,3.7685272104621683,0.0015714758467627243
RGI60-06.00117,2001,2020,0.08644999999999999,2.1526049999999997e-05,4.077132898657797,0.0010152060917657914
RGI60-06.00118,2001,2020,-0.06844999999999998,-6.584889999999998e-05,3.3270192956350373,0.003200592562400906
RGI60-06.00119,2001,2020,-0.3509,-0.0005656508,3.1641446678164766,0.005100601204520161
RGI60-06.00120,2001,2020,0.019199999999999995,3.167999999999999e-06,4.345703564126258,0.0007170410880808326
RGI60-06.00121,2001,2020,-0.14730000000000001,-0.00010001670000000002,3.374798442426017,0.0022914881424072656
RGI60-06.00122,2001,2020,-0.23784999999999998,-5.51812e-05,4.283597058906716,0.0009937945176663582
RGI60-06.00123,2001,2020,-0.24564999999999998,-3.365405e-05,4.263704800896676,0.0005841275577228446
RGI60-06.00124,2001,2020,-0.19045000000000006,-1.3141050000000005e-05,6.828753235272956,0.000471183973233834
RGI60-06.00125,2001,2020,0.045450000000000004,3.5451000000000006e-06,5.197115162867179,0.00040537498270364
RGI60-06.00126,2001,2020,-0.0961,-1.5087700000000001e-05,4.621477097800766,0.0007255719043547203
RGI60-06.00127,2001,2020,0.3557,5.05094e-05,4.5937036148734265,0.0006523059133120265
RGI60-06.00128,2001,2020,-0.10179999999999997,-1.7102399999999994e-05,5.233597390757141,0.0008792443616471998
RGI60-06.00129,2001,2020,-0.1442,-7.38304e-05,3.5193924651344304,0.0018019289421488285
RGI60-06.00130,2001,2020,0.1495,7.93845e-05,3.4895182831196756,0.0018529342083365478
RGI60-06.00131,2001,2020,0.23045000000000004,2.8345350000000008e-05,4.6652018832516395,0.0005738198316399517
RGI60-06.00132,2001,2020,-0.4436,-7.3194e-05,4.717198317633506,0.0007783377224095285
RGI60-06.00133,2001,2020,0.023299999999999994,2.2531099999999995e-05,3.1502912144771367,0.003046331604399391
RGI60-06.00134,2001,2020,-0.006849999999999998,-1.5960499999999995e-06,3.762830095156018,0.0008767394121713522
RGI60-06.00135,2001,2020,-0.2507499999999999,-5.566649999999998e-05,4.673974850653357,0.0010376224168450454
RGI60-06.00136,2001,2020,0.1733,2.1315900000000004e-05,5.464196670353767,0.0006720961904535135
RGI60-06.00137,2001,2020,0.08549999999999999,0.00018510749999999998,2.874173977507149,0.006222586661302977
RGI60-06.00138,2001,2020,-0.038400000000000004,-1.1136000000000003e-05,3.969283245815327,0.0011510921412864448
RGI60-06.00139,2001,2020,-0.0278,-3.2526e-06,4.391934081348113,0.0005138562875177293
RGI60-06.00140,2001,2020,-0.205,-0.00023165000000000002,3.1474257328144635,0.003556591078080344
RGI60-06.00141,2001,2020,-0.22160000000000002,-0.00016819440000000004,3.3083574149961104,0.002511043277982048
RGI60-06.00142,2001,2020,-0.09865000000000002,-2.2590850000000004e-05,4.097943208298043,0.0009384289947002518
RGI60-06.00143,2001,2020,-0.10595000000000002,-2.4262550000000004e-05,3.7976818728424915,0.0008696691488809306
RGI60-06.00144,2001,2020,-0.3933,-6.09615e-05,4.643056497718948,0.000719673757146437
RGI60-06.00145,2001,2020,-0.33375000000000005,-1.7021250000000006e-05,5.430238931507635,0.0002769421855068894
RGI60-06.00146,2001,2020,-0.13010000000000002,-2.4328700000000006e-05,4.210113594400836,0.0007872912421529564
RGI60-06.00147,2001,2020,-0.23355,-0.00012798540000000003,3.5705795079967038,0.0019566775703821937
RGI60-06.00148,2001,2020,-0.05055,-7.835250000000001e-06,5.09700892146363,0.0007900363828268627
RGI60-06.00149,2001,2020,-0.30045,-3.8157150000000004e-05,4.561290624537423,0.0005792839093162528
RGI60-06.00150,2001,2020,-0.33599999999999997,-0.00012096,3.8119972799524833,0.0013723190207828942
RGI60-06.00151,2001,2020,-0.35295,-0.0002696538,3.3855017740029076,0.0025865233553382214
RGI60-06.00152,2001,2020,-0.5644000000000001,-2.878440000000001e-05,8.265871014119218,0.00042155942172008014
RGI60-06.00153,2001,2020,-0.36665,-2.9332e-05,6.311981442866137,0.000504958515429291
RGI60-06.00154,2001,2020,0.05,4.7e-06,4.849517227523725,0.00045585461938723015
RGI60-06.00155,2001,2020,-0.1072,-1.2220800000000002e-05,4.938001098869355,0.0005629321252711066
RGI60-06.00156,2001,2020,-0.70335,-0.00011745945000000002,4.331379617440843,0.0007233403961126208
RGI60-06.00157,2001,2020,-0.3855,-2.81415e-05,7.442756711520967,0.0005433212399410306
RGI60-06.00158,2001,2020,-0.52975,-6.462950000000002e-05,5.283155430792019,0.0006445449625566264
RGI60-06.00159,2001,2020,-0.45649999999999996,-9.403899999999999e-05,5.020350574180191,0.0010341922182811195
RGI60-06.00160,2001,2020,-0.623,-0.00013643700000000002,4.19639006389405,0.000919009423992797
